Date,Ta_mean,Recon
1830-05,13,
1830-06,14.6,
1830-07,18.1,
1830-08,16.7,
1830-09,11.4,
1830-10,7.6,
1830-11,4,
1830-12,-1.1,
1831-01,-3.9,
1831-02,0.1,
1831-03,5.7,
1831-04,9.3,
1831-05,12.1,
1831-06,15.1,
1831-07,17.3,
1831-08,16.7,
1831-09,12.2,
1831-10,11.1,
1831-11,4,
1831-12,0.1,
1832-01,-2.2,
1832-02,-0.3,
1832-03,2.8,
1832-04,8.3,
1832-05,11.2,
1832-06,14.5,
1832-07,18.1,
1832-08,19.4,
1832-09,13.3,
1832-10,7.9,
1832-11,2.7,
1832-12,-0.1,
1833-01,-4.6,
1833-02,3.2,
1833-03,2.5,
1833-04,6.4,
1833-05,16.2,
1833-06,16.7,
1833-07,15.1,
1833-08,14.8,
1833-09,12,
1833-10,8.6,
1833-11,3,
1833-12,4.1,
1834-01,3.6,
1834-02,1.2,
1834-03,4.1,
1834-04,6.5,
1834-05,15.4,
1834-06,17.6,
1834-07,19.6,
1834-08,18.3,
1834-09,17.4,
1834-10,9,
1834-11,3.2,
1834-12,-1.9,
1835-01,-1,
1835-02,1.8,
1835-03,3.3,
1835-04,7.5,
1835-05,12.9,
1835-06,15.8,
1835-07,20.1,
1835-08,16.9,
1835-09,13.6,
1835-10,6.4,
1835-11,-0.2,
1835-12,-4.1,
1836-01,-2.5,
1836-02,-0.4,
1836-03,5.8,
1836-04,6.8,
1836-05,10.5,
1836-06,16.4,
1836-07,18.3,
1836-08,18,
1836-09,12.4,
1836-10,8,
1836-11,2.9,
1836-12,0.6,
1837-01,-2.9,
1837-02,0.2,
1837-03,-0.2,
1837-04,4.9,
1837-05,8.6,
1837-06,17.6,
1837-07,17.2,
1837-08,18.9,
1837-09,11.6,
1837-10,7.8,
1837-11,2,
1837-12,-0.6,
1838-01,-6.8,
1838-02,-1.7,
1838-03,3.4,
1838-04,4.7,
1838-05,12.3,
1838-06,15.5,
1838-07,17.5,
1838-08,15.8,
1838-09,13.6,
1838-10,8.2,
1838-11,4.4,
1838-12,-1.9,
1839-01,-1.9,
1839-02,0.5,
1839-03,2.6,
1839-04,4.8,
1839-05,10.8,
1839-06,18,
1839-07,18.6,
1839-08,15.6,
1839-09,13.4,
1839-10,10.1,
1839-11,4.9,
1839-12,2.5,
1840-01,0.6,
1840-02,-1,
1840-03,-0.3,
1840-04,9.8,
1840-05,12,
1840-06,16,
1840-07,15.6,
1840-08,17.9,
1840-09,13.4,
1840-10,7,
1840-11,5.7,
1840-12,-4.2,
1841-01,-1.8,
1841-02,-0.6,
1841-03,5.6,
1841-04,7.7,
1841-05,15.8,
1841-06,14.1,
1841-07,15.9,
1841-08,16.4,
1841-09,15.1,
1841-10,9.6,
1841-11,3.5,
1841-12,2.3,
1842-01,-4.2,
1842-02,-2.7,
1842-03,4.4,
1842-04,8.1,
1842-05,13.2,
1842-06,18.2,
1842-07,17.6,
1842-08,18.8,
1842-09,12.5,
1842-10,5.3,
1842-11,1.3,
1842-12,-0.6,
1843-01,-0.4,
1843-02,1.7,
1843-03,3.5,
1843-04,8.1,
1843-05,10.5,
1843-06,13.5,
1843-07,15.9,
1843-08,16.2,
1843-09,13.5,
1843-10,8.4,
1843-11,3.1,
1843-12,-1.4,
1844-01,-2.9,
1844-02,-1.7,
1844-03,2.6,
1844-04,10.1,
1844-05,10.9,
1844-06,17.2,
1844-07,16.7,
1844-08,14.6,
1844-09,14.8,
1844-10,8.8,
1844-11,4,
1844-12,-3.4,
1845-01,-1.6,
1845-02,-4.9,
1845-03,0.4,
1845-04,8.1,
1845-05,9.1,
1845-06,15.9,
1845-07,17.5,
1845-08,14.9,
1845-09,14.2,
1845-10,8.5,
1845-11,4.6,
1845-12,2,
1846-01,-2.2,
1846-02,3.1,
1846-03,5.3,
1846-04,8.1,
1846-05,13.5,
1846-06,18.7,
1846-07,19.3,
1846-08,18.2,
1846-09,15,
1846-10,9.3,
1846-11,3,
1846-12,-3.7,
1847-01,-1.9,
1847-02,-1.8,
1847-03,2,
1847-04,4.9,
1847-05,14.9,
1847-06,13,
1847-07,18.1,
1847-08,16.8,
1847-09,11.3,
1847-10,8.1,
1847-11,2.7,
1847-12,-2.6,
1848-01,-6.7,
1848-02,0.8,
1848-03,3.5,
1848-04,8.8,
1848-05,13.6,
1848-06,16.1,
1848-07,18.2,
1848-08,17.4,
1848-09,13.2,
1848-10,8.6,
1848-11,1.8,
1848-12,-0.1,
1849-01,0.6,
1849-02,1.3,
1849-03,2.2,
1849-04,5.6,
1849-05,12.7,
1849-06,17.5,
1849-07,18,
1849-08,16.2,
1849-09,14.2,
1849-10,9.2,
1849-11,0.5,
1849-12,-1.6,
1850-01,-3,
1850-02,3.2,
1850-03,1,
1850-04,7,
1850-05,10,
1850-06,16,
1850-07,17.1,
1850-08,16.3,
1850-09,11.6,
1850-10,6.3,
1850-11,4.9,
1850-12,-0.6,
1851-01,-0.6,
1851-02,-0.7,
1851-03,2,
1851-04,7.9,
1851-05,9.4,
1851-06,16.8,
1851-07,16.5,
1851-08,16.9,
1851-09,10.7,
1851-10,8.7,
1851-11,-0.8,
1851-12,-5.7,
1852-01,-1.2,
1852-02,0.7,
1852-03,1.2,
1852-04,7.1,
1852-05,12.8,
1852-06,15.1,
1852-07,19.1,
1852-08,16.4,
1852-09,13.5,
1852-10,8.3,
1852-11,7.2,
1852-12,2.8,
1853-01,0.8,
1853-02,-1.7,
1853-03,-0.2,
1853-04,5.8,
1853-05,10.7,
1853-06,14.5,
1853-07,17.7,
1853-08,17.2,
1853-09,13,
1853-10,8.9,
1853-11,3.4,
1853-12,-4.5,
1854-01,-2.4,
1854-02,-2.9,
1854-03,2.5,
1854-04,8.3,
1854-05,12.3,
1854-06,14.6,
1854-07,16.9,
1854-08,15.7,
1854-09,13.6,
1854-10,8.6,
1854-11,1.1,
1854-12,0.9,
1855-01,-4,
1855-02,-0.3,
1855-03,2.3,
1855-04,6.5,
1855-05,10.2,
1855-06,14,
1855-07,16.2,
1855-08,18.4,
1855-09,15.1,
1855-10,10.2,
1855-11,2.4,
1855-12,-4,
1856-01,-0.4,
1856-02,1.5,
1856-03,4,
1856-04,8.9,
1856-05,9.8,
1856-06,16.8,
1856-07,17.5,
1856-08,19.1,
1856-09,12.6,
1856-10,8.7,
1856-11,0.7,
1856-12,-1.3,
1857-01,-2.4,
1857-02,-2.3,
1857-03,2.7,
1857-04,6.4,
1857-05,12.2,
1857-06,15.2,
1857-07,18.6,
1857-08,17.5,
1857-09,14.6,
1857-10,9.9,
1857-11,3.1,
1857-12,-0.9,
1858-01,-4.9,
1858-02,-1,
1858-03,3.2,
1858-04,10.3,
1858-05,10.4,
1858-06,18.3,
1858-07,16.3,
1858-08,16.3,
1858-09,15.3,
1858-10,9,
1858-11,0,
1858-12,-0.4,
1859-01,-3.3,
1859-02,0,
1859-03,5.1,
1859-04,8.2,
1859-05,12.3,
1859-06,16.4,
1859-07,21.3,
1859-08,19.9,
1859-09,14.1,
1859-10,9.8,
1859-11,2,
1859-12,-4.3,
1860-01,1,
1860-02,-3.4,
1860-03,1.3,
1860-04,6.3,
1860-05,13.7,
1860-06,15.5,
1860-07,16.1,
1860-08,15.5,
1860-09,13.1,
1860-10,8,
1860-11,1.2,
1860-12,-0.5,
1861-01,-4.3,
1861-02,1.8,
1861-03,4.1,
1861-04,7.5,
1861-05,12,
1861-06,16.6,
1861-07,16.9,
1861-08,19.5,
1861-09,13.9,
1861-10,10.9,
1861-11,3.9,
1861-12,-1.5,
1862-01,-1.3,
1862-02,0.8,
1862-03,6.1,
1862-04,10.4,
1862-05,14.6,
1862-06,14.8,
1862-07,19,
1862-08,16.6,
1862-09,14.4,
1862-10,10.7,
1862-11,3.5,
1862-12,-0.1,
1863-01,0.7,
1863-02,1.2,
1863-03,3.5,
1863-04,9.4,
1863-05,13.6,
1863-06,15.8,
1863-07,18.2,
1863-08,19,
1863-09,12.9,
1863-10,10.1,
1863-11,3.8,
1863-12,1.1,
