Date,Ta_mean,Recon
1845-10,9.8,
1845-11,6.6,
1845-12,4.1,
1846-01,0.8,
1846-02,3.3,
1846-03,5.8,
1846-04,8.6,
1846-05,13.8,
1846-06,19.2,
1846-07,19.8,
1846-08,19.1,
1846-09,15.4,
1846-10,10.2,
1846-11,5.3,
1846-12,-1.3,
1847-01,-0.4,
1847-02,0.1,
1847-03,3,
1847-04,6.5,
1847-05,15.4,
1847-06,14.8,
1847-07,19.3,
1847-08,17.7,
1847-09,12.8,
1847-10,9.4,
1847-11,4,
1847-12,-0.3,
1848-01,-4.1,
1848-02,3.2,
1848-03,4.7,
1848-04,9.9,
1848-05,13.8,
1848-06,16.5,
1848-07,18.5,
1848-08,18,
1848-09,14,
1848-10,9.8,
1848-11,3.1,
1848-12,0.5,
1849-01,1.9,
1849-02,2.4,
1849-03,3.6,
1849-04,6.4,
1849-05,13.2,
1849-06,18.5,
1849-07,19,
1849-08,17.5,
1849-09,14.9,
1849-10,10.6,
1849-11,2.9,
1849-12,0.1,
1850-01,-2.3,
1850-02,3.8,
1850-03,2.6,
1850-04,8.3,
1850-05,11,
1850-06,16.8,
1850-07,18.3,
1850-08,17.2,
1850-09,13.2,
1850-10,7.5,
1850-11,5.8,
1850-12,1.6,
1851-01,0.7,
1851-02,1.2,
1851-03,3.7,
1851-04,9.1,
1851-05,10.3,
1851-06,17.9,
1851-07,16.7,
1851-08,17.6,
1851-09,11.5,
1851-10,9.6,
1851-11,0.5,
1851-12,-3.2,
1852-01,2.1,
1852-02,2.3,
1852-03,0.5,
1852-04,8.3,
1852-05,13,
1852-06,15.7,
1852-07,19.7,
1852-08,16.6,
1852-09,14,
1852-10,9,
1852-11,7.2,
1852-12,3.2,
1853-01,3.1,
1853-02,-0.1,
1853-03,0.7,
1853-04,7.4,
1853-05,11.3,
1853-06,15.6,
1853-07,18.6,
1853-08,18.4,
1853-09,13.7,
1853-10,9.8,
1853-11,5.4,
1853-12,-1.6,
1854-01,0,
1854-02,-1,
1854-03,4.7,
1854-04,10.3,
1854-05,13.3,
1854-06,15.6,
1854-07,18.1,
1854-08,16.8,
1854-09,15.1,
1854-10,10.3,
1854-11,3.4,
1854-12,2.6,
1855-01,-1.5,
1855-02,1.8,
1855-03,4.5,
1855-04,7.9,
1855-05,11.2,
1855-06,15.8,
1855-07,17.8,
1855-08,19,
1855-09,15.3,
1855-10,11.2,
1855-11,4.1,
1855-12,-2.6,
1856-01,2.4,
1856-02,3,
1856-03,4.7,
1856-04,10,
1856-05,10.7,
1856-06,16.8,
1856-07,18.2,
1856-08,19.9,
1856-09,13.5,
1856-10,10.1,
1856-11,2.5,
1856-12,1.1,
1857-01,-0.1,
1857-02,-0.3,
1857-03,4.3,
1857-04,7.6,
1857-05,13.1,
1857-06,16.3,
1857-07,20.7,
1857-08,18.5,
1857-09,16.1,
1857-10,10.8,
1857-11,5,
1857-12,0.7,
1858-01,-2.4,
1858-02,0.5,
1858-03,3.9,
1858-04,11.2,
1858-05,11.3,
1858-06,19.6,
1858-07,17.2,
1858-08,16.5,
1858-09,16.2,
1858-10,10.4,
1858-11,3,
1858-12,2.1,
1859-01,-0.2,
1859-02,2,
1859-03,6.9,
1859-04,9.5,
1859-05,12.7,
1859-06,16.4,
1859-07,22.3,
1859-08,20.8,
1859-09,15,
1859-10,11.1,
1859-11,4.4,
1859-12,-0.7,
1860-01,3.2,
1860-02,-1.2,
1860-03,3.2,
1860-04,7.1,
1860-05,14,
1860-06,15.9,
1860-07,16.9,
1860-08,16.4,
1860-09,13.3,
1860-10,9.3,
1860-11,3.5,
1860-12,1.5,
1861-01,-2.4,
1861-02,3.1,
1861-03,5.5,
1861-04,8.7,
1861-05,13.3,
1861-06,16.8,
1861-07,17.3,
1861-08,20.1,
1861-09,15,
1861-10,12,
