Date,Ta_mean,Recon
1810-02,-3.3,
1810-03,6.8,
1810-04,7.9,
1810-05,13.7,
1810-06,15.1,
1810-07,15.6,
1810-08,16.1,
1810-09,15.8,
1810-10,9.9,
1810-11,4.5,
1810-12,1.5,
1811-01,-5,
1811-02,2.4,
1811-03,5.8,
1811-04,10.6,
1811-05,15.5,
1811-06,17.8,
1811-07,18.6,
1811-08,16.2,
1811-09,14.5,
1811-10,11.5,
1811-11,4.5,
1811-12,-0.9,
1812-01,-6.1,
1812-02,2.1,
1812-03,3.7,
1812-04,5.9,
1812-05,14,
1812-06,15.1,
1812-07,15.7,
1812-08,15.5,
1812-09,12.7,
1812-10,8.8,
1812-11,1.7,
1812-12,-3.4,
1813-01,-4.1,
1813-02,2.2,
1813-03,3,
1813-04,8.7,
1813-05,13.8,
1813-06,14.4,
1813-07,14.9,
1813-08,14.9,
1813-09,12,
1813-10,8.8,
1813-11,3.5,
1813-12,-0.4,
1814-01,-2.9,
1814-02,-4.3,
1814-03,1.5,
1814-04,9.3,
1814-05,11.6,
1814-06,14.6,
1814-07,16.9,
1814-08,15.8,
1814-09,11,
1814-10,7.1,
1814-11,5.5,
1814-12,2.4,
1815-01,-4.4,
1815-02,2.9,
1815-03,6.4,
1815-04,9.3,
1815-05,14.4,
1815-06,14.4,
1815-07,15.4,
1815-08,15,
1815-09,13.2,
1815-10,9,
1815-11,1.2,
1815-12,-1.5,
1816-01,-1.4,
1816-02,-2.6,
1816-03,2.6,
1816-04,7.6,
1816-05,11.4,
1816-06,12.9,
1816-07,14,
1816-08,14,
1816-09,12.5,
1816-10,9.1,
1816-11,2.4,
1816-12,-0.9,
1817-01,1.2,
1817-02,3.2,
1817-03,3.4,
1817-04,4.3,
1817-05,11.1,
1817-06,16.6,
1817-07,15.7,
1817-08,15.3,
1817-09,15.6,
1817-10,5.5,
1817-11,4.4,
1817-12,-1,
1818-01,-0.2,
1818-02,1.9,
1818-03,4,
1818-04,9.7,
1818-05,11.8,
1818-06,16.6,
1818-07,17.9,
1818-08,15.9,
1818-09,12.8,
1818-10,8.1,
1818-11,5.5,
1818-12,-1.4,
1819-01,-0.4,
1819-02,1.8,
1819-03,4.8,
1819-04,9.9,
1819-05,13.2,
1819-06,14.7,
1819-07,17.2,
1819-08,16.8,
1819-09,14.1,
1819-10,8.3,
1819-11,2.9,
1819-12,0.9,
1820-01,-2.9,
1820-02,1,
1820-03,2.4,
1820-04,10.5,
1820-05,13.2,
1820-06,13.6,
1820-07,16.3,
1820-08,18.5,
1820-09,12,
1820-10,7.6,
1820-11,1.2,
1820-12,-0.1,
1821-01,0,
1821-02,-2.1,
1821-03,4.5,
1821-04,9.6,
1821-05,11.8,
1821-06,13,
1821-07,14.9,
1821-08,17.8,
1821-09,14.2,
1821-10,8.2,
1821-11,5.7,
1821-12,3.6,
1822-01,-0.1,
1822-02,2.6,
1822-03,7.8,
1822-04,9,
1822-05,15.5,
1822-06,20.3,
1822-07,17.7,
1822-08,16.3,
1822-09,14.3,
1822-10,10.4,
1822-11,6.1,
1822-12,-3.1,
1823-01,-2.8,
1823-02,2.4,
1823-03,3.6,
1823-04,7.4,
1823-05,14,
1823-06,13.9,
1823-07,16.1,
1823-08,16.8,
1823-09,14.1,
1823-10,8.1,
1823-11,1.6,
