Date,Ta_mean,Std_err
1818-04,9.2,0.25
1818-05,11.5,0.28
1818-06,16.5,0.3
1818-07,18.1,0.33
1818-08,NA,NA
1818-09,12.4,0.21
1818-10,7.5,0.16
1818-11,5,0.13
1818-12,-2.1,0.12
1819-01,-1.4,0.13
1819-02,1,0.16
1819-03,4.4,0.2
1819-04,9.6,0.25
1819-05,12.8,0.28
1819-06,14.6,0.3
1819-07,17.3,0.3
1819-08,16.4,0.26
1819-09,13.7,0.21
1819-10,7.6,0.17
1819-11,2.4,0.13
1819-12,0.4,0.12
1820-01,-3.4,0.14
1820-02,0.7,0.16
1820-03,1.7,0.2
1820-04,10.4,0.25
1820-05,12.9,0.28
1820-06,13.8,0.3
1820-07,16.4,0.29
1820-08,18.5,0.26
1820-09,11.4,0.21
1820-10,7,0.17
1820-11,0.5,0.13
1820-12,-0.9,0.12
1821-01,-0.7,0.13
1821-02,-2.6,0.16
1821-03,4.1,0.2
1821-04,9.2,0.25
1821-05,11.4,0.28
1821-06,13.1,0.3
1821-07,14.9,0.29
1821-08,17.7,0.26
1821-09,13.7,0.22
1821-10,7.5,0.17
1821-11,4.7,0.13
1821-12,2.9,0.12
1822-01,-0.7,0.13
1822-02,2.1,0.16
1822-03,7.5,0.2
1822-04,8.7,0.24
1822-05,15.1,0.28
1822-06,20.2,0.3
1822-07,17.4,0.29
1822-08,16.2,0.26
1822-09,14.1,0.21
1822-10,9.6,0.18
1822-11,5.4,0.13
1822-12,-4.3,0.12
1823-01,-3.1,0.13
1823-02,2.1,0.16
1823-03,3.3,0.2
1823-04,6.9,0.25
1823-05,13.6,0.28
1823-06,13.9,0.3
1823-07,16,0.29
1823-08,16.8,0.27
1823-09,14.2,0.21
1823-10,7.3,0.17
1823-11,1.2,0.13
1823-12,1.6,0.12
1824-01,-2.4,0.13
1824-02,0.9,0.16
1824-03,1.9,0.2
1824-04,5.9,0.25
1824-05,11.7,0.28
1824-06,13.6,0.3
1824-07,18.8,0.25
1824-08,16.2,0.26
1824-09,14.3,0.21
1824-10,8.6,0.17
1824-11,5.5,0.13
1824-12,2.4,0.12
1825-01,-3,0.13
1825-02,-1,0.17
1825-03,2.5,0.2
1825-04,10.4,0.25
1825-05,12.3,0.28
1825-06,15.5,0.3
1825-07,16.5,0.29
1825-08,16.4,0.26
1825-09,14.4,0.21
1825-10,8.2,0.17
1825-11,4.4,0.13
1825-12,2.8,0.12
