Date,Ta_mean,Std_err
1822-05,14.9,0.24
1822-06,20.8,0.26
1822-07,18.9,0.25
1822-08,17.7,0.22
1822-09,15.4,0.19
1822-10,11.3,0.16
1822-11,7.9,0.16
1822-12,-0.3,0.15
1823-01,-0.8,0.15
1823-02,3.9,0.17
1823-03,4.2,0.18
1823-04,8,0.22
1823-05,13.5,0.24
1823-06,14.2,0.26
1823-07,16.7,0.25
1823-08,17.5,0.22
1823-09,15,0.19
1823-10,8,0.16
1823-11,3.7,0.16
1823-12,3.5,0.15
1824-01,-0.4,0.15
1824-02,1.8,0.16
1824-03,2.3,0.18
1824-04,6.1,0.22
1824-05,11.6,0.24
1824-06,13.8,0.26
1824-07,18.8,0.25
1824-08,16.9,0.22
1824-09,14.1,0.19
1824-10,8.6,0.16
1824-11,6.1,0.16
1824-12,3.7,0.15
1825-01,0.4,0.15
1825-02,1.5,0.17
1825-03,3.5,0.18
1825-04,10.6,0.22
1825-05,12.6,0.24
1825-06,16.5,0.26
1825-07,18.1,0.25
1825-08,18.4,0.22
1825-09,16.6,0.19
1825-10,10.8,0.16
1825-11,6.7,0.16
1825-12,5.6,0.15
1826-01,-4.8,0.16
1826-02,2.2,0.19
1826-03,5.4,0.21
1826-04,8.4,0.23
1826-05,11.3,0.26
1826-06,16.5,0.27
1826-07,19.5,0.26
1826-08,20.5,0.24
1826-09,15.6,0.22
1826-10,10.2,0.18
1826-11,3.4,0.16
1826-12,1.6,0.15
1827-01,-0.9,0.16
1827-02,-1.7,0.18
1827-03,5.5,0.2
1827-04,9.3,0.23
1827-05,13.7,0.26
1827-06,16.6,0.27
1827-07,21.2,0.26
1827-08,17.7,0.24
1827-09,14.8,0.22
1827-10,10.2,0.18
1827-11,2.1,0.16
1827-12,4.4,0.15
1828-01,2.2,0.16
1828-02,2.3,0.18
1828-03,5,0.2
1828-04,9.1,0.23
1828-05,14,0.26
1828-06,17.6,0.27
1828-07,18.6,0.26
1828-08,16.4,0.24
1828-09,15.2,0.22
1828-10,9.9,0.18
1828-11,4.8,0.16
1828-12,3,0.16
1829-01,-1.7,0.16
1829-02,0.1,0.18
1829-03,4.7,0.2
1829-04,8.2,0.23
1829-05,12.7,0.26
1829-06,15.4,0.27
1829-07,17.9,0.26
1829-08,16.3,0.24
1829-09,12.4,0.22
1829-10,7.3,0.18
1829-11,2.8,0.16
1829-12,-3,0.15
1830-01,-5.5,0.16
1830-02,-1.2,0.18
1830-03,6.8,0.2
1830-04,10.8,0.23
1830-05,13,0.26
1830-06,15.4,0.27
1830-07,18.6,0.26
1830-08,18.3,0.24
1830-09,12.3,0.22
1830-10,8.6,0.18
1830-11,5.1,0.16
1830-12,0.6,0.15
1831-01,-2,0.16
1831-02,1.1,0.18
1831-03,6.1,0.2
1831-04,10,0.23
1831-05,12.6,0.26
1831-06,16.5,0.27
1831-07,18.2,0.26
1831-08,17.5,0.24
1831-09,12.9,0.22
1831-10,11.6,0.18
1831-11,5.1,0.16
1831-12,2.7,0.15
1832-01,-0.3,0.16
1832-02,1.5,0.18
1832-03,3.9,0.2
1832-04,8.1,0.23
1832-05,11.7,0.26
1832-06,15.2,0.27
1832-07,19.8,0.26
1832-08,20.2,0.24
1832-09,14.3,0.22
1832-10,9.3,0.18
1832-11,4.1,0.16
1832-12,2,0.15
1833-01,-0.7,0.16
1833-02,4.7,0.18
1833-03,3.5,0.2
1833-04,NA,NA
1833-05,16,0.26
1833-06,18,0.27
1833-07,16.4,0.26
1833-08,16.7,0.24
1833-09,13,0.22
1833-10,9.6,0.18
1833-11,4.7,0.16
1833-12,5.2,0.15
1834-01,4.8,0.16
1834-02,2.8,0.18
1834-03,5.6,0.2
1834-04,7.2,0.23
1834-05,15.5,0.26
1834-06,18.2,0.27
1834-07,20.6,0.26
1834-08,19.2,0.24
1834-09,18.6,0.22
1834-10,11,0.18
1834-11,5.1,0.16
1834-12,-0.2,0.15
1835-01,0.8,0.16
1835-02,3,0.18
1835-03,3.7,0.2
1835-04,8.2,0.23
1835-05,13.2,0.26
1835-06,17,0.27
1835-07,21.2,0.26
1835-08,18.2,0.24
1835-09,14.5,0.22
1835-10,8.1,0.18
1835-11,1.7,0.16
1835-12,-1.7,0.15
1836-01,-0.3,0.11
1836-02,0.5,0.14
1836-03,6.6,0.17
1836-04,7.2,0.21
1836-05,11,0.23
1836-06,17.4,0.24
1836-07,20.4,0.23
1836-08,18.7,0.21
1836-09,13.4,0.18
1836-10,9.5,0.14
1836-11,5.1,0.12
1836-12,2.5,0.1
1837-01,-0.1,0.11
1837-02,1.6,0.14
1837-03,1.3,0.16
1837-04,6,0.2
1837-05,10.8,0.23
1837-06,19.3,0.24
1837-07,18.5,0.24
1837-08,20,0.21
1837-09,12.9,0.18
1837-10,9.3,0.14
1837-11,3.4,0.11
1837-12,1.2,0.1
1838-01,-5,0.11
1838-02,0,0.14
1838-03,4.6,0.16
1838-04,5.9,0.21
1838-05,13.2,0.23
1838-06,16.5,0.24
1838-07,18.7,0.23
1838-08,17,0.21
1838-09,13.8,0.18
1838-10,9.1,0.14
1838-11,6.2,0.11
1838-12,1,0.1
1839-01,-0.2,0.11
1839-02,0.7,0.14
1839-03,3.6,0.16
1839-04,6.6,0.21
1839-05,12.1,0.23
1839-06,18.7,0.24
1839-07,19.7,0.23
1839-08,16.7,0.21
1839-09,13.4,0.18
1839-10,10.9,0.14
1839-11,6.8,0.12
1839-12,5.3,0.1
1840-01,2.1,0.11
1840-02,0.6,0.14
1840-03,0.7,0.16
1840-04,9.8,0.21
1840-05,13.1,0.23
1840-06,17.7,0.24
1840-07,16.9,0.23
1840-08,18.3,0.21
1840-09,13.2,0.18
1840-10,7.1,0.14
1840-11,6.3,0.11
1840-12,-2.3,0.1
1841-01,-0.8,0.11
1841-02,0.2,0.14
1841-03,5.4,0.17
1841-04,7.8,0.2
1841-05,15.7,0.23
1841-06,15.6,0.24
1841-07,17,0.23
1841-08,16.9,0.21
1841-09,15,0.18
1841-10,10.5,0.14
1841-11,5.4,0.11
1841-12,2.8,0.1
1842-01,-2.4,0.11
1842-02,-2.7,0.14
1842-03,5.1,0.16
1842-04,7.9,0.21
1842-05,14,0.23
1842-06,19.6,0.24
1842-07,18.6,0.24
1842-08,19.4,0.21
1842-09,13.4,0.18
1842-10,7.1,0.14
1842-11,4,0.11
1842-12,0.9,0.1
1843-01,1.5,0.11
1843-02,3.4,0.14
1843-03,4.3,0.17
1843-04,8.8,0.2
1843-05,11.6,0.23
1843-06,14.5,0.24
1843-07,16.9,0.24
1843-08,17.9,0.21
1843-09,15.6,0.18
1843-10,9.6,0.14
1843-11,5.3,0.11
1843-12,1.4,0.1
1844-01,0,0.11
1844-02,0.4,0.14
1844-03,4,0.16
1844-04,10.5,0.21
1844-05,12.6,0.23
1844-06,18.8,0.24
1844-07,18.2,0.23
1844-08,15.5,0.21
1844-09,15.7,0.18
1844-10,9.7,0.14
1844-11,5.5,0.12
1844-12,-0.2,0.1
1845-01,1.4,0.11
1845-02,-2.7,0.14
1845-03,2.4,0.16
1845-04,9.2,0.2
1845-05,11.1,0.23
1845-06,17.2,0.24
1845-07,18.7,0.23
1845-08,15.8,0.21
1845-09,15.3,0.18
1845-10,9.8,0.14
1845-11,6.6,0.11
1845-12,4.1,0.1
1846-01,0.8,0.12
1846-02,3.3,0.15
1846-03,5.8,0.18
1846-04,8.6,0.21
1846-05,13.8,0.24
1846-06,19.2,0.25
1846-07,19.8,0.24
1846-08,19.1,0.22
1846-09,15.4,0.19
1846-10,10.2,0.15
1846-11,5.3,0.12
1846-12,-1.3,0.11
1847-01,-0.4,0.12
1847-02,0.1,0.15
1847-03,3,0.18
1847-04,6.5,0.21
1847-05,15.4,0.24
1847-06,14.8,0.25
1847-07,19.3,0.24
1847-08,17.7,0.22
1847-09,12.8,0.19
1847-10,9.4,0.15
1847-11,4,0.13
1847-12,-0.3,0.11
1848-01,-4.1,0.12
1848-02,3.2,0.15
1848-03,4.7,0.18
1848-04,9.9,0.22
1848-05,13.8,0.24
1848-06,16.5,0.25
1848-07,18.5,0.24
1848-08,18,0.22
1848-09,14,0.19
1848-10,9.8,0.15
1848-11,3.1,0.12
1848-12,0.5,0.11
1849-01,1.9,0.11
1849-02,2.4,0.14
1849-03,3.6,0.16
